Symbol	Location
IL36G	Extracellular space
FBLN2	Extracellular space
BGLAP	Extracellular space
APOH	Extracellular space
KLKB1	Extracellular space
IFNL2	Extracellular space
PDGFC	Extracellular space
TNFSF11	Extracellular space
IGFBP5	Extracellular space
GZMA	Extracellular space
APOM	Extracellular space
COL1A2	Extracellular space
XCL2	Extracellular space
SMPDL3A	Extracellular space
ELN	Extracellular space
ICAM4	Extracellular space
NCAM1	Extracellular space
TGFBI	Extracellular space
HAS3	Extracellular space
ELSPBP1	Extracellular space
NPPA	Extracellular space
CD200R1	Extracellular space
FGF7	Extracellular space
JMJD7-PLA2G4B	Extracellular space
HRG	Extracellular space
GHRL	Extracellular space
KLK6	Extracellular space
IGFBPL1	Extracellular space
COL11A2	Extracellular space
IGFBP4	Extracellular space
TNFSF12-TNFSF13	Extracellular space
EDN1	Extracellular space
IGKV2-30	Extracellular space
LGALS1	Extracellular space
BMP7	Extracellular space
IL32	Extracellular space
LGI1	Extracellular space
C1QL1	Extracellular space
IGLV3-19	Extracellular space
LAMA4	Extracellular space
BCHE	Extracellular space
TCN2	Extracellular space
FLRT2	Extracellular space
SCGB3A2	Extracellular space
C8B	Extracellular space
TFPI2	Extracellular space
PLA2G4B	Extracellular space
SULF2	Extracellular space
CHI3L1	Extracellular space
IL17C	Extracellular space
TNFSF13	Extracellular space
CTHRC1	Extracellular space
MIF	Extracellular space
SERPINB9	Extracellular space
CFC1	Extracellular space
WNT7B	Extracellular space
COL22A1	Extracellular space
DEFB4A	Extracellular space
PTN	Extracellular space
PRLH	Extracellular space
JMJD7	Extracellular space
WNT6	Extracellular space
NPPB	Extracellular space
KDR	Extracellular space
SDC1	Extracellular space
DEFA5	Extracellular space
ADAMTSL3	Extracellular space
GNGT2	Extracellular space
AMY1A	Extracellular space
GUCA2A	Extracellular space
FMOD	Extracellular space
GRN	Extracellular space
FBN2	Extracellular space
GZMK	Extracellular space
PMCH	Extracellular space
CELA2B	Extracellular space
SERPIND1	Extracellular space
CSF1	Extracellular space
COL12A1	Extracellular space
INSL3	Extracellular space
PLA2G10	Extracellular space
GCG	Extracellular space
PLBD1	Extracellular space
ADAM28	Extracellular space
DMP1	Extracellular space
MDK	Extracellular space
HTRA1	Extracellular space
LIPI	Extracellular space
SIGLEC10	Extracellular space
LAMA2	Extracellular space
IHH	Extracellular space
EDN3	Extracellular space
TGFB2	Extracellular space
IL4R	Extracellular space
PLA2G12B	Extracellular space
TNFSF15	Extracellular space
LIFR	Extracellular space
NRG1	Extracellular space
PRSS8	Extracellular space
ENPP2	Extracellular space
GHRH	Extracellular space
CRIM1	Extracellular space
CD163	Extracellular space
MUC7	Extracellular space
TAFA4	Extracellular space
CALCB	Extracellular space
DEFB103B	Extracellular space
BMP15	Extracellular space
PRSS1	Extracellular space
PAEP	Extracellular space
ZG16	Extracellular space
FAM3D	Extracellular space
MBL2	Extracellular space
IL1RAP	Extracellular space
RNASE6	Extracellular space
FST	Extracellular space
CXCL14	Extracellular space
CD27	Extracellular space
ECM2	Extracellular space
SELENON	Extracellular space
PPT1	Extracellular space
MUC1	Extracellular space
CCL28	Extracellular space
NAPSA	Extracellular space
TNR	Extracellular space
COL4A3	Extracellular space
APOC3	Extracellular space
HTN1	Extracellular space
IFNA21	Extracellular space
CSHL1	Extracellular space
EMILIN2	Extracellular space
LAMA3	Extracellular space
APCS	Extracellular space
F9	Extracellular space
PROZ	Extracellular space
GDF1	Extracellular space
COL14A1	Extracellular space
NXPE1	Extracellular space
CXCL6	Extracellular space
CCN1	Extracellular space
PRSS53	Extracellular space
CCL26	Extracellular space
TPSAB1	Extracellular space
SOGA1	Extracellular space
TXLNA	Extracellular space
SERPING1	Extracellular space
COL4A1	Extracellular space
CETP	Extracellular space
SERPINA6	Extracellular space
MEPE	Extracellular space
CGB2	Extracellular space
NELL2	Extracellular space
WNT11	Extracellular space
PIP	Extracellular space
MFGE8	Extracellular space
QPCT	Extracellular space
MATN2	Extracellular space
PLTP	Extracellular space
PDGFB	Extracellular space
PRSS3	Extracellular space
CALR	Extracellular space
FLRT1	Extracellular space
BMP8B	Extracellular space
ACE2	Extracellular space
CRP	Extracellular space
SIAE	Extracellular space
IL3	Extracellular space
CFI	Extracellular space
PRR4	Extracellular space
LEP	Extracellular space
HP	Extracellular space
TNC	Extracellular space
VASH1	Extracellular space
THNSL2	Extracellular space
MMRN2	Extracellular space
PCYOX1L	Extracellular space
BMP5	Extracellular space
SERPINE2	Extracellular space
MR1	Extracellular space
CLPS	Extracellular space
RBP4	Extracellular space
PRSS22	Extracellular space
DEFB107B	Extracellular space
COMP	Extracellular space
LPO	Extracellular space
DKK2	Extracellular space
SCGB1A1	Extracellular space
IL13	Extracellular space
F12	Extracellular space
GDNF	Extracellular space
SCUBE3	Extracellular space
SCUBE1	Extracellular space
IGFBP2	Extracellular space
PPBP	Extracellular space
IL33	Extracellular space
LGALS3	Extracellular space
IFNA17	Extracellular space
QSOX2	Extracellular space
CGB5	Extracellular space
NPB	Extracellular space
C6orf120	Extracellular space
LIPH	Extracellular space
PDYN	Extracellular space
FGFR2	Extracellular space
AZU1	Extracellular space
REG3G	Extracellular space
LAMA5	Extracellular space
PLA2G3	Extracellular space
FSHB	Extracellular space
TUFT1	Extracellular space
CBLN1	Extracellular space
DPP7	Extracellular space
IBSP	Extracellular space
NPVF	Extracellular space
DEFB108B	Extracellular space
WNT8A	Extracellular space
COL3A1	Extracellular space
PRB2	Extracellular space
WNT9A	Extracellular space
C4A	Extracellular space
SPARC	Extracellular space
FBN3	Extracellular space
CLCA1	Extracellular space
PSG4	Extracellular space
TTR	Extracellular space
MAP2K2	Extracellular space
IAPP	Extracellular space
KLK4	Extracellular space
RS1	Extracellular space
F5	Extracellular space
LAMA1	Extracellular space
ITIH2	Extracellular space
OSTN	Extracellular space
RNASET2	Extracellular space
IFI30	Extracellular space
IL22	Extracellular space
LALBA	Extracellular space
IL20	Extracellular space
B2M	Extracellular space
C4BPA	Extracellular space
CD248	Extracellular space
AC011473.4	Extracellular space
VTN	Extracellular space
PRB3	Extracellular space
KLK5	Extracellular space
MFAP2	Extracellular space
FGFR1	Extracellular space
B4GALT1	Extracellular space
CST2	Extracellular space
SERPINA4	Extracellular space
MYOC	Extracellular space
EPDR1	Extracellular space
TMPRSS2	Extracellular space
CHGB	Extracellular space
CTSH	Extracellular space
EFEMP1	Extracellular space
CST8	Extracellular space
HYAL1	Extracellular space
IL27	Extracellular space
MFAP4	Extracellular space
CXCL17	Extracellular space
TNFRSF18	Extracellular space
NGF	Extracellular space
IL37	Extracellular space
LEFTY1	Extracellular space
TAC1	Extracellular space
NDFIP1	Extracellular space
LOXL1	Extracellular space
PGA5	Extracellular space
TEK	Extracellular space
FCN1	Extracellular space
IL26	Extracellular space
PGLYRP3	Extracellular space
SIGLEC1	Extracellular space
SHBG	Extracellular space
GAL	Extracellular space
S100A9	Extracellular space
TFPI	Extracellular space
LAMB1	Extracellular space
TGFA	Extracellular space
IL9	Extracellular space
TSHB	Extracellular space
OLFML1	Extracellular space
WNT5B	Extracellular space
PLA2G12A	Extracellular space
PVR	Extracellular space
MMP16	Extracellular space
CALU	Extracellular space
FNDC5	Extracellular space
F13B	Extracellular space
FGL2	Extracellular space
COL5A3	Extracellular space
IGLV1-47	Extracellular space
COL7A1	Extracellular space
IFNA2	Extracellular space
COL27A1	Extracellular space
GNL1	Extracellular space
C7	Extracellular space
PLAT	Extracellular space
CFHR2	Extracellular space
KLK13	Extracellular space
PTH	Extracellular space
COL6A1	Extracellular space
RETNLB	Extracellular space
PTX3	Extracellular space
SPP2	Extracellular space
CYTL1	Extracellular space
DKK4	Extracellular space
UCN	Extracellular space
CXCL3	Extracellular space
DEFB105B	Extracellular space
LRG1	Extracellular space
ENOX2	Extracellular space
F10	Extracellular space
JAM3	Extracellular space
AMH	Extracellular space
A1BG	Extracellular space
PRELP	Extracellular space
ST6GAL1	Extracellular space
IGHV1-2	Extracellular space
PF4	Extracellular space
TINAGL1	Extracellular space
JCHAIN	Extracellular space
MASP1	Extracellular space
VASN	Extracellular space
KLK12	Extracellular space
COCH	Extracellular space
F11	Extracellular space
GNAS	Extracellular space
NUCB2	Extracellular space
PROK2	Extracellular space
GLA	Extracellular space
FN1	Extracellular space
ENHO	Extracellular space
NXPH3	Extracellular space
LAMC1	Extracellular space
CLU	Extracellular space
IFNA1	Extracellular space
PI15	Extracellular space
TECTA	Extracellular space
KRTAP1-1	Extracellular space
TGFB1	Extracellular space
CREG1	Extracellular space
PRAP1	Extracellular space
IFNA6	Extracellular space
SERPINA9	Extracellular space
INS-IGF2	Extracellular space
CORT	Extracellular space
IL6R	Extracellular space
ADAM23	Extracellular space
IL4	Extracellular space
IL25	Extracellular space
PTH2	Extracellular space
WNT5A	Extracellular space
RNASE7	Extracellular space
MAPK15	Extracellular space
C4BPB	Extracellular space
IL18	Extracellular space
HABP2	Extracellular space
ACP3	Extracellular space
TGFBR3	Extracellular space
NTS	Extracellular space
COL21A1	Extracellular space
IGHG4	Extracellular space
ZP3	Extracellular space
TFF1	Extracellular space
FKRP	Extracellular space
FSTL3	Extracellular space
CCL20	Extracellular space
ADIPOQ	Extracellular space
SRPX2	Extracellular space
LECT2	Extracellular space
CD40LG	Extracellular space
THSD1	Extracellular space
MUC4	Extracellular space
IGKV3-20	Extracellular space
AMELY	Extracellular space
SPINK1	Extracellular space
GPHA2	Extracellular space
IGKV1-5	Extracellular space
SEMA3C	Extracellular space
WNT7A	Extracellular space
C8A	Extracellular space
CLEC3B	Extracellular space
ERBB3	Extracellular space
AKR1B10	Extracellular space
DKK3	Extracellular space
LCN1	Extracellular space
CPB2	Extracellular space
KARS1	Extracellular space
KLK14	Extracellular space
TNF	Extracellular space
SERPINA10	Extracellular space
SCG3	Extracellular space
COL16A1	Extracellular space
ARSI	Extracellular space
FCN3	Extracellular space
IGHV3-23	Extracellular space
ADGRE5	Extracellular space
MSMP	Extracellular space
IGKV4-1	Extracellular space
KLK15	Extracellular space
LBP	Extracellular space
SPINT1	Extracellular space
EDDM3B	Extracellular space
IFNK	Extracellular space
DMKN	Extracellular space
XCL1	Extracellular space
A2ML1	Extracellular space
EMC10	Extracellular space
SERPINE1	Extracellular space
MMP23B	Extracellular space
VIP	Extracellular space
RNASE1	Extracellular space
IL10	Extracellular space
REG4	Extracellular space
AVP	Extracellular space
CPA2	Extracellular space
SMR3B	Extracellular space
KISS1	Extracellular space
CXCL13	Extracellular space
FGFBP3	Extracellular space
GUCA2B	Extracellular space
PLG	Extracellular space
AFP	Extracellular space
LIPF	Extracellular space
MET	Extracellular space
CPQ	Extracellular space
STATH	Extracellular space
LCAT	Extracellular space
BTN1A1	Extracellular space
ADAMTS9	Extracellular space
CMA1	Extracellular space
AADACL2	Extracellular space
HGFAC	Extracellular space
ESM1	Extracellular space
CDA	Extracellular space
PGA3	Extracellular space
FCAR	Extracellular space
AZGP1	Extracellular space
GAS6	Extracellular space
COL6A5	Extracellular space
KL	Extracellular space
SEMG2	Extracellular space
CST4	Extracellular space
CLEC3A	Extracellular space
CD40	Extracellular space
POSTN	Extracellular space
C2	Extracellular space
ST3GAL3	Extracellular space
CPZ	Extracellular space
SERPINA5	Extracellular space
PRSS12	Extracellular space
WNT9B	Extracellular space
PRG2	Extracellular space
SERPINF2	Extracellular space
COL9A1	Extracellular space
CHAD	Extracellular space
SDC4	Extracellular space
CCL13	Extracellular space
DEFB103A	Extracellular space
TNFRSF1B	Extracellular space
IL23A	Extracellular space
FGF20	Extracellular space
CELA2A	Extracellular space
RFNG	Extracellular space
SERPINI1	Extracellular space
CREG2	Extracellular space
GFRA4	Extracellular space
ADAMTSL1	Extracellular space
TFF3	Extracellular space
NID2	Extracellular space
KERA	Extracellular space
C1QTNF9	Extracellular space
ENPP6	Extracellular space
GPC1	Extracellular space
IL1RN	Extracellular space
YBX1	Extracellular space
CCL24	Extracellular space
AMY1C	Extracellular space
DBH	Extracellular space
C1QA	Extracellular space
KRTAP5-8	Extracellular space
GFER	Extracellular space
FLT4	Extracellular space
RETN	Extracellular space
XDH	Extracellular space
BOLA1	Extracellular space
IGLV1-51	Extracellular space
ZP1	Extracellular space
ANGPTL2	Extracellular space
TLR9	Extracellular space
F8	Extracellular space
HAPLN1	Extracellular space
KRTDAP	Extracellular space
APOA2	Extracellular space
LAMC2	Extracellular space
MUC6	Extracellular space
PRDX4	Extracellular space
MMP9	Extracellular space
CX3CL1	Extracellular space
COL4A5	Extracellular space
SECTM1	Extracellular space
GSN	Extracellular space
ENPP3	Extracellular space
DCD	Extracellular space
EGFR	Extracellular space
GGH	Extracellular space
IGKV3-15	Extracellular space
UTS2	Extracellular space
DEFA3	Extracellular space
BMP2	Extracellular space
CD34	Extracellular space
IGKV1-39	Extracellular space
WNT16	Extracellular space
MMP25	Extracellular space
NMU	Extracellular space
GH2	Extracellular space
VEGFD	Extracellular space
CPN1	Extracellular space
APOB	Extracellular space
DEFB104B	Extracellular space
IL6	Extracellular space
ITIH3	Extracellular space
CRHBP	Extracellular space
NOG	Extracellular space
SULF1	Extracellular space
AGGF1	Extracellular space
IL5	Extracellular space
TFRC	Extracellular space
CXCL8	Extracellular space
CTSS	Extracellular space
GPLD1	Extracellular space
CSN1S1	Extracellular space
IMPG2	Extracellular space
CABP4	Extracellular space
CST1	Extracellular space
IGHG2	Extracellular space
ASIP	Extracellular space
REG1A	Extracellular space
IGKV1-17	Extracellular space
NRTN	Extracellular space
IL19	Extracellular space
IL34	Extracellular space
TIMP3	Extracellular space
ST3GAL4	Extracellular space
FGFR4	Extracellular space
CELA3B	Extracellular space
RLN1	Extracellular space
MLN	Extracellular space
CHGA	Extracellular space
PKHD1L1	Extracellular space
MATN1	Extracellular space
UCN3	Extracellular space
APOA5	Extracellular space
LCN9	Extracellular space
FGF1	Extracellular space
ANGPT1	Extracellular space
GALNT2	Extracellular space
TNN	Extracellular space
EMID1	Extracellular space
ACE	Extracellular space
NTN4	Extracellular space
IGHV1-46	Extracellular space
TRH	Extracellular space
IL11	Extracellular space
KRTAP1-3	Extracellular space
IL36RN	Extracellular space
SOD3	Extracellular space
C3	Extracellular space
DEFB118	Extracellular space
SOD1	Extracellular space
SERPINB2	Extracellular space
LIF	Extracellular space
MMP2	Extracellular space
CBLN3	Extracellular space
VWF	Extracellular space
ITIH4	Extracellular space
IL7R	Extracellular space
PON3	Extracellular space
OSM	Extracellular space
EREG	Extracellular space
S100A13	Extracellular space
FGG	Extracellular space
CFP	Extracellular space
NRG3	Extracellular space
DEFB106A	Extracellular space
SCN1B	Extracellular space
TG	Extracellular space
HILPDA	Extracellular space
PCSK6	Extracellular space
WFDC2	Extracellular space
SPOCK1	Extracellular space
FAS	Extracellular space
GNLY	Extracellular space
PRSS36	Extracellular space
REG3A	Extracellular space
IFNA13	Extracellular space
TPT1	Extracellular space
CCK	Extracellular space
HSPG2	Extracellular space
CXCL10	Extracellular space
DEAF1	Extracellular space
TNFSF13B	Extracellular space
PLXDC1	Extracellular space
IFNG	Extracellular space
TIMP2	Extracellular space
COL8A1	Extracellular space
APOA1	Extracellular space
SAA4	Extracellular space
CCL17	Extracellular space
PLA2G1B	Extracellular space
TAFA1	Extracellular space
CCL2	Extracellular space
PCSK9	Extracellular space
VEGFB	Extracellular space
PZP	Extracellular space
C4B	Extracellular space
SERPINA7	Extracellular space
TMPRSS11D	Extracellular space
AGR2	Extracellular space
COL11A1	Extracellular space
SPN	Extracellular space
IL2	Extracellular space
OPRPN	Extracellular space
JAG1	Extracellular space
C1QTNF8	Extracellular space
ANGPTL1	Extracellular space
AMBP	Extracellular space
COL6A2	Extracellular space
FGF19	Extracellular space
SLIT3	Extracellular space
SPAG11A	Extracellular space
ERAP1	Extracellular space
CXCL5	Extracellular space
CSN3	Extracellular space
UCN2	Extracellular space
HTRA3	Extracellular space
PTGFR	Extracellular space
DEFB105A	Extracellular space
TECTB	Extracellular space
CCL1	Extracellular space
IL1A	Extracellular space
ADAMTS13	Extracellular space
PROC	Extracellular space
CEACAM1	Extracellular space
POMC	Extracellular space
ENTPD6	Extracellular space
APOF	Extracellular space
RNLS	Extracellular space
ANTXR2	Extracellular space
COL4A6	Extracellular space
IL17D	Extracellular space
RBMX	Extracellular space
CFHR3	Extracellular space
SERPINA1	Extracellular space
SEMG1	Extracellular space
IGLV7-43	Extracellular space
IFNL1	Extracellular space
CSF2	Extracellular space
ANGPT4	Extracellular space
IGKV1-33	Extracellular space
PROK1	Extracellular space
CCL21	Extracellular space
NRP1	Extracellular space
CNDP1	Extracellular space
LCN6	Extracellular space
AFM	Extracellular space
SFTPC	Extracellular space
MMP8	Extracellular space
APOL1	Extracellular space
CCN3	Extracellular space
PI3	Extracellular space
CXCL12	Extracellular space
PLA2G2F	Extracellular space
AMY1B	Extracellular space
ECM1	Extracellular space
AGRN	Extracellular space
CP	Extracellular space
FGFBP2	Extracellular space
ELANE	Extracellular space
ODAM	Extracellular space
GPI	Extracellular space
PLAU	Extracellular space
IGHG1	Extracellular space
PDGFA	Extracellular space
PTHLH	Extracellular space
CGB1	Extracellular space
ECRG4	Extracellular space
EFEMP2	Extracellular space
LUM	Extracellular space
CHIT1	Extracellular space
DAG1	Extracellular space
LOXL3	Extracellular space
FGB	Extracellular space
NDNF	Extracellular space
APOD	Extracellular space
RNASE3	Extracellular space
CRH	Extracellular space
PRSS27	Extracellular space
C9	Extracellular space
IL1R2	Extracellular space
LACRT	Extracellular space
CCN4	Extracellular space
IL17F	Extracellular space
SLIT2	Extracellular space
COL8A2	Extracellular space
AHSG	Extracellular space
HMGB2	Extracellular space
PF4V1	Extracellular space
LYZ	Extracellular space
PCSK5	Extracellular space
CPN2	Extracellular space
IGKV1D-16	Extracellular space
GH1	Extracellular space
ORM2	Extracellular space
FCN2	Extracellular space
VCAN	Extracellular space
MYDGF	Extracellular space
SFRP4	Extracellular space
FGF6	Extracellular space
PLA2G2E	Extracellular space
CLCA2	Extracellular space
ADAMTS3	Extracellular space
LAMC3	Extracellular space
TFF2	Extracellular space
SAMD1	Extracellular space
ANG	Extracellular space
WNT3A	Extracellular space
ADGRE3	Extracellular space
CST6	Extracellular space
SERPINB5	Extracellular space
AMBN	Extracellular space
SPINK2	Extracellular space
IFNB1	Extracellular space
BPIFC	Extracellular space
IL7	Extracellular space
SCGB3A1	Extracellular space
CKLF	Extracellular space
LTF	Extracellular space
CD8A	Extracellular space
SFRP2	Extracellular space
TNFRSF1A	Extracellular space
TIMP1	Extracellular space
CAMP	Extracellular space
DNASE1	Extracellular space
PGLYRP2	Extracellular space
ATG4C	Extracellular space
SCGB1D4	Extracellular space
KLK11	Extracellular space
LEFTY2	Extracellular space
CRLF1	Extracellular space
IL17B	Extracellular space
HS3ST4	Extracellular space
DKKL1	Extracellular space
FGF10	Extracellular space
TXN	Extracellular space
APOE	Extracellular space
EMILIN1	Extracellular space
BGN	Extracellular space
DEFA4	Extracellular space
IGLV2-23	Extracellular space
FGF22	Extracellular space
PGF	Extracellular space
CRTAC1	Extracellular space
CPA6	Extracellular space
IL1B	Extracellular space
UMOD	Extracellular space
TGFB3	Extracellular space
PGLYRP1	Extracellular space
PLA2G7	Extracellular space
NTF3	Extracellular space
IL12B	Extracellular space
CGA	Extracellular space
ANOS1	Extracellular space
ITLN1	Extracellular space
MMP17	Extracellular space
C1QTNF9B	Extracellular space
SPINK5	Extracellular space
WNT8B	Extracellular space
IGFBP7	Extracellular space
MERTK	Extracellular space
RLN2	Extracellular space
LOX	Extracellular space
LAMB3	Extracellular space
EPOR	Extracellular space
NID1	Extracellular space
MIA	Extracellular space
DEFB126	Extracellular space
APOA4	Extracellular space
IGLV2-14	Extracellular space
IGFALS	Extracellular space
C5	Extracellular space
S100A7	Extracellular space
DLL1	Extracellular space
PSPN	Extracellular space
OXT	Extracellular space
ATRN	Extracellular space
SFN	Extracellular space
IL16	Extracellular space
BMP3	Extracellular space
LNPEP	Extracellular space
CRB2	Extracellular space
F13A1	Extracellular space
CPA1	Extracellular space
LAMB4	Extracellular space
CBLIF	Extracellular space
HBEGF	Extracellular space
FLRT3	Extracellular space
IFNA8	Extracellular space
CLEC11A	Extracellular space
TMEFF2	Extracellular space
ADA2	Extracellular space
REN	Extracellular space
AGT	Extracellular space
IGKV3D-15	Extracellular space
MATN3	Extracellular space
SLURP1	Extracellular space
TNFRSF6B	Extracellular space
GNRH2	Extracellular space
S100A8	Extracellular space
LEAP2	Extracellular space
IL22RA2	Extracellular space
IFNAR2	Extracellular space
GKN2	Extracellular space
MASP2	Extracellular space
HTN3	Extracellular space
NPFF	Extracellular space
FGF9	Extracellular space
FAM3B	Extracellular space
PAM	Extracellular space
PLXNB1	Extracellular space
SLIT1	Extracellular space
NOTCH2NLA	Extracellular space
CD59	Extracellular space
CHSY1	Extracellular space
IL12A	Extracellular space
FBLN5	Extracellular space
BOLA3	Extracellular space
SPP1	Extracellular space
SHH	Extracellular space
PCDH15	Extracellular space
LFNG	Extracellular space
SCG2	Extracellular space
EBI3	Extracellular space
CCL27	Extracellular space
CALCA	Extracellular space
PNLIPRP1	Extracellular space
LAIR2	Extracellular space
MFAP1	Extracellular space
SOSTDC1	Extracellular space
IFNA16	Extracellular space
MSTN	Extracellular space
PIGR	Extracellular space
EFNA1	Extracellular space
IGFBP3	Extracellular space
CSF3	Extracellular space
CCL19	Extracellular space
CFHR5	Extracellular space
ITIH1	Extracellular space
F7	Extracellular space
PRB4	Extracellular space
ASPN	Extracellular space
NAXE	Extracellular space
GALP	Extracellular space
GDF5	Extracellular space
PNLIP	Extracellular space
TSLP	Extracellular space
PROS1	Extracellular space
TNFRSF11B	Extracellular space
LCN2	Extracellular space
SNCA	Extracellular space
REG1B	Extracellular space
PRADC1	Extracellular space
EDA	Extracellular space
CDNF	Extracellular space
COLEC10	Extracellular space
FBN1	Extracellular space
GALNT1	Extracellular space
ENAM	Extracellular space
PLA2G15	Extracellular space
MFAP5	Extracellular space
IL18BP	Extracellular space
ENOX1	Extracellular space
FCER2	Extracellular space
CHIA	Extracellular space
CCL25	Extracellular space
TOR2A	Extracellular space
