symbol	kegg_terms
MAPK14	AGE-RAGE signaling pathway in diabetic complications,Adrenergic signaling in cardiomyocytes,Amyotrophic lateral sclerosis,C-type lectin receptor signaling pathway,Cellular senescence,Chagas disease,Coronavirus disease - COVID-19,Diabetic cardiomyopathy,Dopaminergic synapse,Endocrine resistance,Epithelial cell signaling in Helicobacter pylori infection,Epstein-Barr virus infection,Fc epsilon RI signaling pathway,Fluid shear stress and atherosclerosis,FoxO signaling pathway,GnRH signaling pathway,Growth hormone synthesis secretion and action,Hepatitis B,Human cytomegalovirus infection,Human immunodeficiency virus 1 infection,IL-17 signaling pathway,Inflammatory mediator regulation of TRP channels,Kaposi sarcoma-associated herpesvirus infection,Leishmaniasis,Leukocyte transendothelial migration,Lipid and atherosclerosis,MAPK signaling pathway,NOD-like receptor signaling pathway,Neurotrophin signaling pathway,Neutrophil extracellular trap formation,Non-alcoholic fatty liver disease,Oocyte meiosis,Osteoclast differentiation,PD-L1 expression and PD-1 checkpoint pathway in cancer,Pathogenic Escherichia coli infection,Pathways of neurodegeneration - multiple diseases,Pertussis,Platelet activation,Prion disease,Progesterone-mediated oocyte maturation,Prolactin signaling pathway,Proteoglycans in cancer,RIG-I-like receptor signaling pathway,Rap1 signaling pathway,Relaxin signaling pathway,Retrograde endocannabinoid signaling,Salmonella infection,Shigellosis,Signaling pathways regulating pluripotency of stem cells,Sphingolipid signaling pathway,T cell receptor signaling pathway,TNF signaling pathway,Th1 and Th2 cell differentiation,Th17 cell differentiation,Thermogenesis,Toll-like receptor signaling pathway,Toxoplasmosis,Tuberculosis,VEGF signaling pathway,Yersinia infection
DIAPH1	AGE-RAGE signaling pathway in diabetic complications,Focal adhesion,Regulation of actin cytoskeleton,Shigellosis
AGT	AGE-RAGE signaling pathway in diabetic complications,Adrenergic signaling in cardiomyocytes,Alanine aspartate and glutamate metabolism,Aldosterone synthesis and secretion,Carbon metabolism,Cortisol synthesis and secretion,Cushing syndrome,Diabetic cardiomyopathy,Dilated cardiomyopathy,Glycine serine and threonine metabolism,Glyoxylate and dicarboxylate metabolism,Hypertrophic cardiomyopathy,Insulin resistance,Metabolic pathways,Neuroactive ligand-receptor interaction,Pathways in cancer,Peroxisome,Phospholipase D signaling pathway,Renin secretion,Renin-angiotensin system,Vascular smooth muscle contraction
AGTR1	AGE-RAGE signaling pathway in diabetic complications,Adrenergic signaling in cardiomyocytes,Aldosterone synthesis and secretion,Apelin signaling pathway,Calcium signaling pathway,Coronavirus disease - COVID-19,Cortisol synthesis and secretion,Cushing syndrome,Diabetic cardiomyopathy,Neuroactive ligand-receptor interaction,Pathways in cancer,Phospholipase D signaling pathway,Renin secretion,Renin-angiotensin system,Vascular smooth muscle contraction,cGMP-PKG signaling pathway
EDN1	AGE-RAGE signaling pathway in diabetic complications,Fluid shear stress and atherosclerosis,HIF-1 signaling pathway,Hypertrophic cardiomyopathy,Melanogenesis,Neuroactive ligand-receptor interaction,Pathways in cancer,Relaxin signaling pathway,Renin secretion,TNF signaling pathway,Vascular smooth muscle contraction,cAMP signaling pathway
EGR1	AGE-RAGE signaling pathway in diabetic complications,Apelin signaling pathway,GnRH signaling pathway,Human T-cell leukemia virus 1 infection,Parathyroid hormone synthesis secretion and action,Prion disease
AKT1	AGE-RAGE signaling pathway in diabetic complications,AMPK signaling pathway,Acute myeloid leukemia,Adipocytokine signaling pathway,Adrenergic signaling in cardiomyocytes,Alzheimer disease,Apelin signaling pathway,Apoptosis,Autophagy - animal,B cell receptor signaling pathway,Breast cancer,C-type lectin receptor signaling pathway,Carbohydrate digestion and absorption,Cellular senescence,Central carbon metabolism in cancer,Chagas disease,Chemical carcinogenesis - receptor activation,Chemokine signaling pathway,Choline metabolism in cancer,Cholinergic synapse,Chronic myeloid leukemia,Colorectal cancer,Diabetic cardiomyopathy,Dopaminergic synapse,EGFR tyrosine kinase inhibitor resistance,Endocrine resistance,Endometrial cancer,Epstein-Barr virus infection,ErbB signaling pathway,Estrogen signaling pathway,Fc epsilon RI signaling pathway,Fc gamma R-mediated phagocytosis,Fluid shear stress and atherosclerosis,Focal adhesion,FoxO signaling pathway,Gastric cancer,Glioma,Glucagon signaling pathway,GnRH secretion,Growth hormone synthesis secretion and action,HIF-1 signaling pathway,Hepatitis B,Hepatitis C,Hepatocellular carcinoma,Herpes simplex virus 1 infection,Human T-cell leukemia virus 1 infection,Human cytomegalovirus infection,Human immunodeficiency virus 1 infection,Human papillomavirus infection,Influenza A,Insulin resistance,Insulin signaling pathway,JAK-STAT signaling pathway,Kaposi sarcoma-associated herpesvirus infection,Lipid and atherosclerosis,Longevity regulating pathway,Longevity regulating pathway - multiple species,MAPK signaling pathway,Measles,Melanoma,Neurotrophin signaling pathway,Neutrophil extracellular trap formation,Non-alcoholic fatty liver disease,Non-small cell lung cancer,Osteoclast differentiation,PD-L1 expression and PD-1 checkpoint pathway in cancer,PI3K-Akt signaling pathway,Pancreatic cancer,Pathways in cancer,Phospholipase D signaling pathway,Platelet activation,Platinum drug resistance,Progesterone-mediated oocyte maturation,Prolactin signaling pathway,Prostate cancer,Proteoglycans in cancer,Rap1 signaling pathway,Ras signaling pathway,Regulation of lipolysis in adipocytes,Relaxin signaling pathway,Renal cell carcinoma,Salmonella infection,Shigellosis,Signaling pathways regulating pluripotency of stem cells,Small cell lung cancer,Sphingolipid signaling pathway,Spinocerebellar ataxia,T cell receptor signaling pathway,TNF signaling pathway,Thyroid hormone signaling pathway,Toll-like receptor signaling pathway,Toxoplasmosis,Tuberculosis,VEGF signaling pathway,Yersinia infection,cAMP signaling pathway,cGMP-PKG signaling pathway,mTOR signaling pathway
AKT2	AGE-RAGE signaling pathway in diabetic complications,AMPK signaling pathway,Acute myeloid leukemia,Adipocytokine signaling pathway,Adrenergic signaling in cardiomyocytes,Alzheimer disease,Apelin signaling pathway,Apoptosis,Autophagy - animal,B cell receptor signaling pathway,Breast cancer,C-type lectin receptor signaling pathway,Carbohydrate digestion and absorption,Cellular senescence,Central carbon metabolism in cancer,Chagas disease,Chemical carcinogenesis - receptor activation,Chemokine signaling pathway,Choline metabolism in cancer,Cholinergic synapse,Chronic myeloid leukemia,Colorectal cancer,Diabetic cardiomyopathy,Dopaminergic synapse,EGFR tyrosine kinase inhibitor resistance,Endocrine resistance,Endometrial cancer,Epstein-Barr virus infection,ErbB signaling pathway,Estrogen signaling pathway,Fc epsilon RI signaling pathway,Fc gamma R-mediated phagocytosis,Fluid shear stress and atherosclerosis,Focal adhesion,FoxO signaling pathway,Gastric cancer,Glioma,Glucagon signaling pathway,GnRH secretion,Growth hormone synthesis secretion and action,HIF-1 signaling pathway,Hepatitis B,Hepatitis C,Hepatocellular carcinoma,Herpes simplex virus 1 infection,Human T-cell leukemia virus 1 infection,Human cytomegalovirus infection,Human immunodeficiency virus 1 infection,Human papillomavirus infection,Influenza A,Insulin resistance,Insulin signaling pathway,JAK-STAT signaling pathway,Kaposi sarcoma-associated herpesvirus infection,Lipid and atherosclerosis,Longevity regulating pathway,Longevity regulating pathway - multiple species,MAPK signaling pathway,Measles,Melanoma,Neurotrophin signaling pathway,Neutrophil extracellular trap formation,Non-alcoholic fatty liver disease,Non-small cell lung cancer,Osteoclast differentiation,PD-L1 expression and PD-1 checkpoint pathway in cancer,PI3K-Akt signaling pathway,Pancreatic cancer,Pathways in cancer,Phospholipase D signaling pathway,Platelet activation,Platinum drug resistance,Progesterone-mediated oocyte maturation,Prolactin signaling pathway,Prostate cancer,Proteoglycans in cancer,Rap1 signaling pathway,Ras signaling pathway,Regulation of lipolysis in adipocytes,Relaxin signaling pathway,Renal cell carcinoma,Salmonella infection,Shigellosis,Signaling pathways regulating pluripotency of stem cells,Small cell lung cancer,Sphingolipid signaling pathway,Spinocerebellar ataxia,T cell receptor signaling pathway,TNF signaling pathway,Thyroid hormone signaling pathway,Toll-like receptor signaling pathway,Toxoplasmosis,Tuberculosis,VEGF signaling pathway,Yersinia infection,cAMP signaling pathway,cGMP-PKG signaling pathway,mTOR signaling pathway
F3	AGE-RAGE signaling pathway in diabetic complications,Cell adhesion molecules,Complement and coagulation cascades
VEGFD	AGE-RAGE signaling pathway in diabetic complications,Calcium signaling pathway,Focal adhesion,MAPK signaling pathway,PI3K-Akt signaling pathway,Pathways in cancer,Rap1 signaling pathway,Ras signaling pathway,Relaxin signaling pathway,TNF signaling pathway
FOXO1	AGE-RAGE signaling pathway in diabetic complications,AMPK signaling pathway,Cellular senescence,FoxO signaling pathway,Glucagon signaling pathway,Human papillomavirus infection,Insulin resistance,Insulin signaling pathway,Longevity regulating pathway,Longevity regulating pathway - multiple species,Pathways in cancer,Prostate cancer,Shigellosis,Thyroid hormone signaling pathway,Transcriptional misregulation in cancer
FN1	AGE-RAGE signaling pathway in diabetic complications,Amoebiasis,Bacterial invasion of epithelial cells,ECM-receptor interaction,Focal adhesion,Human papillomavirus infection,PI3K-Akt signaling pathway,Pathways in cancer,Proteoglycans in cancer,Regulation of actin cytoskeleton,Small cell lung cancer,Yersinia infection
NOX1	AGE-RAGE signaling pathway in diabetic complications,Alzheimer disease,Fluid shear stress and atherosclerosis,Lipid and atherosclerosis,Osteoclast differentiation,Pathways of neurodegeneration - multiple diseases
HRAS	AGE-RAGE signaling pathway in diabetic complications,Acute myeloid leukemia,Alcoholism,Alzheimer disease,Apelin signaling pathway,Apoptosis,Autophagy - animal,Axon guidance,B cell receptor signaling pathway,Bladder cancer,Breast cancer,C-type lectin receptor signaling pathway,Cellular senescence,Central carbon metabolism in cancer,Chemical carcinogenesis - receptor activation,Chemokine signaling pathway,Choline metabolism in cancer,Cholinergic synapse,Chronic myeloid leukemia,Colorectal cancer,EGFR tyrosine kinase inhibitor resistance,Endocrine resistance,Endocytosis,Endometrial cancer,ErbB signaling pathway,Estrogen signaling pathway,Fc epsilon RI signaling pathway,Focal adhesion,FoxO signaling pathway,Gap junction,Gastric cancer,Glioma,GnRH secretion,GnRH signaling pathway,Growth hormone synthesis secretion and action,Hepatitis B,Hepatitis C,Hepatocellular carcinoma,Human T-cell leukemia virus 1 infection,Human cytomegalovirus infection,Human immunodeficiency virus 1 infection,Human papillomavirus infection,Insulin signaling pathway,JAK-STAT signaling pathway,Kaposi sarcoma-associated herpesvirus infection,Lipid and atherosclerosis,Long-term depression,Long-term potentiation,Longevity regulating pathway,Longevity regulating pathway - multiple species,MAPK signaling pathway,Melanogenesis,Melanoma,MicroRNAs in cancer,Mitophagy - animal,Natural killer cell mediated cytotoxicity,Neurotrophin signaling pathway,Non-small cell lung cancer,Oxytocin signaling pathway,PD-L1 expression and PD-1 checkpoint pathway in cancer,PI3K-Akt signaling pathway,Pathways in cancer,Pathways of neurodegeneration - multiple diseases,Phospholipase D signaling pathway,Prolactin signaling pathway,Prostate cancer,Proteoglycans in cancer,Rap1 signaling pathway,Ras signaling pathway,Regulation of actin cytoskeleton,Relaxin signaling pathway,Renal cell carcinoma,Salmonella infection,Serotonergic synapse,Signaling pathways regulating pluripotency of stem cells,Sphingolipid signaling pathway,T cell receptor signaling pathway,Thermogenesis,Thyroid cancer,Thyroid hormone signaling pathway,VEGF signaling pathway,Viral carcinogenesis,mTOR signaling pathway
IL1A	AGE-RAGE signaling pathway in diabetic complications,Alzheimer disease,Cellular senescence,Cytokine-cytokine receptor interaction,Fluid shear stress and atherosclerosis,Graft-versus-host disease,Hematopoietic cell lineage,Inflammatory bowel disease,Influenza A,Leishmaniasis,MAPK signaling pathway,Measles,Necroptosis,Non-alcoholic fatty liver disease,Osteoclast differentiation,Pathways of neurodegeneration - multiple diseases,Pertussis,Prion disease,Rheumatoid arthritis,Tuberculosis,Type I diabetes mellitus
IL1B	AGE-RAGE signaling pathway in diabetic complications,African trypanosomiasis,Alzheimer disease,Amoebiasis,Antifolate resistance,C-type lectin receptor signaling pathway,Chagas disease,Coronavirus disease - COVID-19,Cytokine-cytokine receptor interaction,Cytosolic DNA-sensing pathway,Fluid shear stress and atherosclerosis,Graft-versus-host disease,Hematopoietic cell lineage,Herpes simplex virus 1 infection,Human cytomegalovirus infection,IL-17 signaling pathway,Inflammatory bowel disease,Inflammatory mediator regulation of TRP channels,Influenza A,Legionellosis,Leishmaniasis,Lipid and atherosclerosis,MAPK signaling pathway,Malaria,Measles,NF-kappa B signaling pathway,NOD-like receptor signaling pathway,Necroptosis,Non-alcoholic fatty liver disease,Osteoclast differentiation,Pathogenic Escherichia coli infection,Pathways of neurodegeneration - multiple diseases,Pertussis,Prion disease,Rheumatoid arthritis,Salmonella infection,Shigellosis,TNF signaling pathway,Th17 cell differentiation,Toll-like receptor signaling pathway,Tuberculosis,Type I diabetes mellitus,Yersinia infection
IL6	AGE-RAGE signaling pathway in diabetic complications,African trypanosomiasis,Alzheimer disease,Amoebiasis,Antifolate resistance,C-type lectin receptor signaling pathway,Cellular senescence,Chagas disease,Coronavirus disease - COVID-19,Cytokine-cytokine receptor interaction,Cytosolic DNA-sensing pathway,EGFR tyrosine kinase inhibitor resistance,Epstein-Barr virus infection,FoxO signaling pathway,Graft-versus-host disease,HIF-1 signaling pathway,Hematopoietic cell lineage,Hepatitis B,Herpes simplex virus 1 infection,Human T-cell leukemia virus 1 infection,Human cytomegalovirus infection,Hypertrophic cardiomyopathy,IL-17 signaling pathway,Inflammatory bowel disease,Influenza A,Insulin resistance,Intestinal immune network for IgA production,JAK-STAT signaling pathway,Kaposi sarcoma-associated herpesvirus infection,Legionellosis,Lipid and atherosclerosis,Malaria,Measles,NOD-like receptor signaling pathway,Non-alcoholic fatty liver disease,PI3K-Akt signaling pathway,Pathogenic Escherichia coli infection,Pathways in cancer,Pathways of neurodegeneration - multiple diseases,Pertussis,Prion disease,Rheumatoid arthritis,Salmonella infection,TNF signaling pathway,Th17 cell differentiation,Toll-like receptor signaling pathway,Transcriptional misregulation in cancer,Tuberculosis,Viral protein interaction with cytokine and cytokine receptor,Yersinia infection
CXCL8	AGE-RAGE signaling pathway in diabetic complications,Amoebiasis,Bladder cancer,Cellular senescence,Chagas disease,Chemokine signaling pathway,Coronavirus disease - COVID-19,Cytokine-cytokine receptor interaction,Epithelial cell signaling in Helicobacter pylori infection,Hepatitis B,Human cytomegalovirus infection,IL-17 signaling pathway,Influenza A,Kaposi sarcoma-associated herpesvirus infection,Legionellosis,Lipid and atherosclerosis,Malaria,NF-kappa B signaling pathway,NOD-like receptor signaling pathway,Non-alcoholic fatty liver disease,Pathogenic Escherichia coli infection,Pathways in cancer,Pertussis,Phospholipase D signaling pathway,RIG-I-like receptor signaling pathway,Rheumatoid arthritis,Salmonella infection,Shigellosis,Toll-like receptor signaling pathway,Transcriptional misregulation in cancer,Viral protein interaction with cytokine and cytokine receptor,Yersinia infection
JAK2	AGE-RAGE signaling pathway in diabetic complications,Adipocytokine signaling pathway,Chemical carcinogenesis - receptor activation,Chemokine signaling pathway,Cholinergic synapse,EGFR tyrosine kinase inhibitor resistance,Growth hormone synthesis secretion and action,Hepatitis B,Herpes simplex virus 1 infection,Influenza A,JAK-STAT signaling pathway,Kaposi sarcoma-associated herpesvirus infection,Leishmaniasis,Lipid and atherosclerosis,Necroptosis,PD-L1 expression and PD-1 checkpoint pathway in cancer,PI3K-Akt signaling pathway,Pathways in cancer,Prolactin signaling pathway,Signaling pathways regulating pluripotency of stem cells,Th1 and Th2 cell differentiation,Th17 cell differentiation,Toxoplasmosis,Tuberculosis
JUN	AGE-RAGE signaling pathway in diabetic complications,Amphetamine addiction,Apoptosis,B cell receptor signaling pathway,Breast cancer,C-type lectin receptor signaling pathway,Chagas disease,Chemical carcinogenesis - receptor activation,Choline metabolism in cancer,Cocaine addiction,Colorectal cancer,Coronavirus disease - COVID-19,Endocrine resistance,Epithelial cell signaling in Helicobacter pylori infection,Epstein-Barr virus infection,ErbB signaling pathway,Estrogen signaling pathway,Fluid shear stress and atherosclerosis,Focal adhesion,GnRH signaling pathway,Hepatitis B,Human T-cell leukemia virus 1 infection,Human immunodeficiency virus 1 infection,IL-17 signaling pathway,Inflammatory bowel disease,Kaposi sarcoma-associated herpesvirus infection,Leishmaniasis,Lipid and atherosclerosis,MAPK signaling pathway,Measles,Mitophagy - animal,NOD-like receptor signaling pathway,Neurotrophin signaling pathway,Non-alcoholic fatty liver disease,Osteoclast differentiation,Oxytocin signaling pathway,PD-L1 expression and PD-1 checkpoint pathway in cancer,Pathogenic Escherichia coli infection,Pathways in cancer,Pertussis,Relaxin signaling pathway,Renal cell carcinoma,Rheumatoid arthritis,Salmonella infection,Shigellosis,T cell receptor signaling pathway,TNF signaling pathway,Th1 and Th2 cell differentiation,Th17 cell differentiation,Tight junction,Toll-like receptor signaling pathway,Viral carcinogenesis,Wnt signaling pathway,Yersinia infection,cAMP signaling pathway
KRAS	AGE-RAGE signaling pathway in diabetic complications,Acute myeloid leukemia,Alcoholism,Aldosterone-regulated sodium reabsorption,Alzheimer disease,Apelin signaling pathway,Apoptosis,Autophagy - animal,Axon guidance,B cell receptor signaling pathway,Bladder cancer,Breast cancer,C-type lectin receptor signaling pathway,Cellular senescence,Central carbon metabolism in cancer,Chemical carcinogenesis - receptor activation,Chemokine signaling pathway,Choline metabolism in cancer,Cholinergic synapse,Chronic myeloid leukemia,Colorectal cancer,EGFR tyrosine kinase inhibitor resistance,Endocrine resistance,Endometrial cancer,ErbB signaling pathway,Estrogen signaling pathway,Fc epsilon RI signaling pathway,FoxO signaling pathway,Gap junction,Gastric cancer,Glioma,GnRH secretion,GnRH signaling pathway,Growth hormone synthesis secretion and action,Hepatitis B,Hepatitis C,Hepatocellular carcinoma,Human T-cell leukemia virus 1 infection,Human cytomegalovirus infection,Human immunodeficiency virus 1 infection,Human papillomavirus infection,Insulin signaling pathway,Kaposi sarcoma-associated herpesvirus infection,Lipid and atherosclerosis,Long-term depression,Long-term potentiation,Longevity regulating pathway,Longevity regulating pathway - multiple species,MAPK signaling pathway,Melanogenesis,Melanoma,MicroRNAs in cancer,Mitophagy - animal,Natural killer cell mediated cytotoxicity,Neurotrophin signaling pathway,Non-small cell lung cancer,Oxytocin signaling pathway,PD-L1 expression and PD-1 checkpoint pathway in cancer,PI3K-Akt signaling pathway,Pancreatic cancer,Pathways in cancer,Pathways of neurodegeneration - multiple diseases,Phospholipase D signaling pathway,Progesterone-mediated oocyte maturation,Prolactin signaling pathway,Prostate cancer,Proteoglycans in cancer,Rap1 signaling pathway,Ras signaling pathway,Regulation of actin cytoskeleton,Relaxin signaling pathway,Renal cell carcinoma,Serotonergic synapse,Signaling pathways regulating pluripotency of stem cells,Sphingolipid signaling pathway,T cell receptor signaling pathway,Thermogenesis,Thyroid cancer,Thyroid hormone signaling pathway,VEGF signaling pathway,Viral carcinogenesis,mTOR signaling pathway
SMAD2	AGE-RAGE signaling pathway in diabetic complications,Apelin signaling pathway,Cell cycle,Cellular senescence,Chagas disease,Colorectal cancer,Diabetic cardiomyopathy,Endocytosis,Gastric cancer,Hepatocellular carcinoma,Hippo signaling pathway,Human T-cell leukemia virus 1 infection,Inflammatory bowel disease,Pancreatic cancer,Pathways in cancer,Proteoglycans in cancer,Relaxin signaling pathway,Signaling pathways regulating pluripotency of stem cells,TGF-beta signaling pathway,Th17 cell differentiation
